Mechanism,ID,State,Action,Duration,Energy,CO2Footprint,ACR
Two-Agent,56,disruptive,Autonomous,2.900277615,0.0000000949,0.0000314,0.6
Two-Agent,57,disruptive,Autonomous,2.826138258,0.0000000926,0.0000306,0.6
Two-Agent,58,disruptive,Autonomous,2.717020035,0.000000094,0.0000311,0.8
Two-Agent,59,disruptive,Autonomous,4.834427595,0.00000000107,0.000000352,1
Two-Agent,60,disruptive,Autonomous,2.780128956,0.0000000704,0.0000233,1
Two-Agent,61,disruptive,Autonomous,4.969764709,0.00000000335,0.00000111,1
Two-Agent,62,disruptive,Autonomous,2.80122447,0.0000000743,0.0000246,1
Two-Agent,63,disruptive,Autonomous,2.431344032,0.0000000947,0.0000313,1
Two-Agent,64,disruptive,Autonomous,4.793071032,0.00000000339,0.00000112,1
Two-Agent,65,disruptive,Autonomous,2.380638123,0.0000000719,0.0000238,1
Two-Agent,66,disruptive,Autonomous,2.676010847,0.0000000918,0.0000303,1
Two-Agent,67,disruptive,Autonomous,2.614528656,0.0000002,0.0000661,1
Two-Agent,68,disruptive,Autonomous,2.409291983,0.0000000608,0.0000201,1
Two-Agent,69,disruptive,Human,8.596741438,0.0000000253,0.00000838,0.8
Two-Agent,70,disruptive,Human,8.651928425,0.0000000262,0.00000866,0.6
Two-Agent,71,disruptive,Human,8.577438354,0.0000000255,0.00000844,0.4
Two-Agent,72,disruptive,Autonomous,2.465610504,0.0000000507,0.0000168,0.4
Two-Agent,73,disruptive,Human,8.861408472,0.00000000883,0.00000292,0.2
Two-Agent,74,disruptive,Human,10.22817063,0.000000038,0.0000126,0.2
Two-Agent,75,disruptive,Human,8.540570259,0.0000000254,0.00000841,0.2
Two-Agent,76,disruptive,Autonomous,2.412758827,0.0000000484,0.000016,0.4
Two-Agent,77,disruptive,Human,10.78469133,0.000000042,0.0000139,0.2
Two-Agent,78,disruptive,Autonomous,2.804734468,0.0000000349,0.0000115,0.4
Two-Agent,79,disruptive,Autonomous,2.801687717,0.0000000917,0.0000303,0.6
Two-Agent,80,disruptive,Autonomous,5.020820379,0.00000000334,0.0000011,0.8
Two-Agent,81,disruptive,Autonomous,2.78194499,0.0000000695,0.000023,0.8
Two-Agent,82,disruptive,Autonomous,2.415666342,0.0000000933,0.0000308,1
Two-Agent,83,disruptive,Autonomous,2.459950447,0.0000000886,0.0000293,1
Two-Agent,84,disruptive,Autonomous,2.727535248,0.0000000989,0.0000327,1
Two-Agent,85,disruptive,Autonomous,2.800677538,0.0000000948,0.0000314,1
Two-Agent,86,disruptive,Autonomous,2.743577003,0.000000087,0.0000288,1
Two-Agent,87,disruptive,Autonomous,4.423067808,0.00000000106,0.000000351,1
Two-Agent,88,disruptive,Autonomous,2.785757542,0.0000000782,0.0000259,1
Two-Agent,89,disruptive,Autonomous,2.755730152,0.0000000924,0.0000306,1
Two-Agent,90,disruptive,Autonomous,2.772617102,0.0000000901,0.0000298,1
Two-Agent,91,disruptive,Autonomous,2.737893581,0.00000000515,0.0000017,1
Two-Agent,92,disruptive,Human,8.707744837,0.0000000269,0.0000089,0.8
Two-Agent,93,disruptive,Autonomous,2.44843626,0.0000000467,0.0000154,0.8
Two-Agent,94,disruptive,Autonomous,4.397788286,9.58E-10,0.000000317,0.8
Two-Agent,95,disruptive,Autonomous,2.400985241,0.0000000782,0.0000259,0.8
Two-Agent,96,disruptive,Autonomous,2.420381784,0.0000000861,0.0000285,0.8
Two-Agent,97,disruptive,Autonomous,2.50145483,0.0000000972,0.0000322,1
Two-Agent,98,disruptive,Autonomous,4.87155056,0.00000000326,0.00000108,1
Two-Agent,99,disruptive,Autonomous,2.45380187,0.0000000673,0.0000222,1
Two-Agent,100,disruptive,Autonomous,2.417154789,0.0000000972,0.0000321,1
Two-Agent,101,disruptive,Autonomous,4.358361244,9.91E-10,0.000000328,1
Two-Agent,102,disruptive,Autonomous,2.483983755,0.0000000735,0.0000243,1
Two-Agent,103,disruptive,Human,8.481901407,0.0000000269,0.0000089,0.8
Two-Agent,104,disruptive,Autonomous,2.441990852,0.0000000539,0.0000178,0.8
Two-Agent,105,disruptive,Autonomous,2.364807367,0.0000000877,0.000029,0.8
Two-Agent,106,disruptive,Autonomous,2.691694021,0.0000000948,0.0000313,0.8
Two-Agent,107,disruptive,Autonomous,4.314754963,0.00000000102,0.000000338,0.8
Two-Agent,108,disruptive,Human,10.34127021,0.0000000412,0.0000136,0.8
Two-Agent,109,disruptive,Autonomous,2.43693924,0.0000000358,0.0000118,0.8
Two-Agent,110,disruptive,Autonomous,2.401049614,0.0000000948,0.0000313,0.8
Two-Agent,111,disruptive,Autonomous,2.464946032,0.0000000895,0.0000296,0.8
Two-Agent,112,disruptive,Autonomous,2.484372854,0.0000000964,0.0000319,0.8
Two-Agent,113,disruptive,Autonomous,4.131595135,9.27E-10,0.000000307,1
Two-Agent,114,disruptive,Autonomous,2.544187307,6.25E-10,0.000000207,1
Two-Agent,115,disruptive,Human,8.500148058,0.0000000278,0.00000918,0.8
Two-Agent,116,disruptive,Autonomous,4.597975254,0.00000000107,0.000000354,0.8
Two-Agent,117,disruptive,Human,10.44623828,0.0000000411,0.0000136,0.6
Two-Agent,118,disruptive,Autonomous,2.451520681,0.000000031,0.0000103,0.6
Two-Agent,119,disruptive,Autonomous,2.444962263,0.0000000964,0.0000319,0.6
Two-Agent,120,disruptive,Autonomous,2.387559175,0.0000000721,0.0000238,0.8
Two-Agent,121,disruptive,Autonomous,2.460233212,0.0000000932,0.0000308,0.8
Two-Agent,122,disruptive,Human,8.328796387,0.000000012,0.00000398,0.8
Two-Agent,123,disruptive,Autonomous,2.488173246,0.0000000476,0.0000157,0.8
Two-Agent,124,disruptive,Autonomous,2.476975679,0.0000000846,0.000028,0.8
Two-Agent,125,disruptive,Autonomous,2.386546373,0.0000000941,0.0000311,0.8
Two-Agent,126,disruptive,Autonomous,4.37266922,0.00000000106,0.000000349,0.8
Two-Agent,127,disruptive,Autonomous,2.497012377,0.0000000776,0.0000257,1
Two-Agent,128,disruptive,Autonomous,2.434982538,0.0000000925,0.0000306,1
Two-Agent,129,disruptive,Autonomous,4.339679956,0.00000000101,0.000000333,1
Two-Agent,130,disruptive,Autonomous,2.511894464,0.0000000698,0.0000231,1
Two-Agent,131,disruptive,Human,8.333586693,0.0000000262,0.00000867,0.8
Two-Agent,132,disruptive,Autonomous,4.629632711,9.7E-10,0.000000321,0.8
Two-Agent,133,final,Human,9.589111328,0.0000000293,0.00000969,0.6
Two-Agent,134,final,Human,9.193133116,0.0000000246,0.00000814,0.4
Two-Agent,135,final,Human,9.194722176,0.0000000261,0.00000864,0.2
Two-Agent,136,final,Human,10.58083439,0.0000000365,0.0000121,0.2
Two-Agent,137,final,Human,9.265588045,0.000000027,0.00000892,0
Two-Agent,138,final,Human,11.66613364,0.0000000434,0.0000144,0
Two-Agent,139,final,Human,12.95632672,0.0000000411,0.0000136,0
Two-Agent,140,final,Human,9.502006054,0.0000000276,0.00000913,0
Two-Agent,141,final,Human,10.27538395,0.0000000347,0.0000115,0
Two-Agent,142,final,Human,11.19207549,0.0000000403,0.0000133,0
Two-Agent,143,final,Human,9.416637421,0.0000000279,0.00000923,0
Two-Agent,144,final,Human,10.59063983,0.0000000364,0.000012,0
Two-Agent,145,final,Human,10.0997436,0.0000000332,0.000011,0
Two-Agent,146,final,Human,9.118442774,0.0000000269,0.00000891,0
Two-Agent,147,final,Human,9.744620562,0.0000000316,0.0000104,0
Two-Agent,148,final,Human,10.98988652,0.0000000403,0.0000133,0
Two-Agent,149,final,Human,9.038702726,0.0000000261,0.00000862,0
Two-Agent,150,final,Human,10.5143137,0.0000000364,0.000012,0
Two-Agent,151,final,Human,11.36897373,0.0000000428,0.0000141,0
Two-Agent,152,final,Human,9.067721128,0.0000000269,0.0000089,0
Two-Agent,153,final,Human,9.443611622,0.0000000286,0.00000946,0
Two-Agent,154,final,Human,9.304303885,0.0000000278,0.00000919,0
Two-Agent,155,final,Human,8.959161282,0.0000000246,0.00000815,0
Two-Agent,156,final,Human,11.46053147,0.0000000443,0.0000147,0
Two-Agent,157,final,Human,9.273418427,0.0000000277,0.00000916,0
Two-Agent,158,final,Human,9.152367115,0.0000000277,0.00000917,0
Two-Agent,159,final,Autonomous,2.841376781,0.0000000403,0.0000133,0.2
